,Coefficient
AdultWeekday,10.781349846299085
SkiableTerrain_ac,2.834019162776167
daysOpenLastYear,2.038029945353811
clusters,1.9062961270301793
averageSnowfall,1.8921453432571071
vertical_drop,1.610859089497934
quad,1.2691883807931237
double,1.224652443087017
NightSkiing_ac,1.20472639337726
total_chairs,1.0182999713973704
TerrainParks,1.0119214233930258
LongestRun_mi,1.0036203069616452
triple,0.9613406611508912
Runs,0.9139509503291267
projectedDaysOpen,0.869474123644991
surface,0.8169255371037282
Snow Making_ac,0.5807368527022302
yearsOpen,0.26576894747588914
fastQuads,0.12616961747423014
fastSixes,1.1102230246251565e-15
fastEight,4.440892098500626e-16
trams,0.0
