,Coefficient
AdultWeekday,11.219855482201828
clusters,2.9079516092812034
summit_elev,2.560395032963763
daysOpenLastYear,2.450155945597244
SkiableTerrain_ac,2.227985270754579
Runs,1.9650436634787423
projectedDaysOpen,1.9505082717644946
vertical_drop,1.7607963057958842
triple,1.479842873824649
double,1.3084044474497676
averageSnowfall,1.1930740783128304
surface,1.1224815105250516
Snow Making_ac,0.8614992036019491
NightSkiing_ac,0.8460742105553002
total_chairs,0.8421213514718529
TerrainParks,0.8154472777030328
quad,0.7017491504307304
fastQuads,0.6238218519670752
LongestRun_mi,0.41294428237651665
yearsOpen,0.20938037048580618
fastEight,1.3322676295501878e-15
fastSixes,6.661338147750939e-16
trams,0.0
